Epoch	Loss
0	649.0295041674943
1	362.8026656433162
2	339.80065982310845
3	320.8524200690543
4	313.1867382122661
5	312.2631398349906
6	312.1778316805936
7	312.15048713322744
8	312.14328290261284
9	312.1535269381835
10	312.174124475543
11	312.1864929885328
12	312.1957462766878
13	312.2068595727262
14	312.21736888403194
15	312.22752915173663
16	312.2381073148452
17	312.2467780694611
18	312.2533012642811
19	312.25852618740254
20	312.26205304332507
21	312.26502284382775
22	312.26767696290943
23	312.2694230449708
24	312.2711841297125
25	312.27324256517244
26	312.27544910587864
27	312.27715339787005
28	312.2787980612653
29	312.28032301785424
