Epoch	Loss
0	232499.18999999994
1	421421.39545663533
2	8615.400541650612
3	9039.304045108935
4	9026.409199070546
5	9004.72020963236
6	8882.844133833267
7	9019.630393671856
8	8760.12313130887
9	8677.885692131515
10	9277.814760502588
11	9276.139317151523
12	155283.10059088623
13	64525507.72429617
14	769743165224.7886
15	2908729861.590631
16	9005.631089358885
17	9005.644796369754
18	9005.632674077046
19	9005.676482815212
20	9005.735042211047
21	9005.72034504062
22	9005.706554592602
23	9005.690050260411
24	9005.773643117684
25	9005.779764708395
26	9005.782921467739
