Epoch	Loss
0	495708.38534919743
1	130682.90031909355
2	129724.01016028253
3	129691.47996717137
4	129631.55899083127
5	129643.28604943509
6	129638.00485522767
7	129613.30057182495
8	129599.57278503636
9	129590.81685614138
10	129584.84996494843
11	129580.33489322546
12	129576.26704125757
13	129572.7500796789
14	129569.71144454509
15	129567.07953976466
16	129564.79380765777
17	129562.80357466232
18	129561.06637001577
19	129559.54647611131
20	129558.2137478544
21	129557.04265658095
22	129556.01151333917
23	129555.10183503204
24	129554.29782484092
25	129553.58594454284
26	129552.95456108567
27	129552.39365344214
28	129551.8945686036
29	129551.44981779151
30	129551.05290571018
31	129550.69818703894
32	129550.38074546165
33	129550.09629140128
34	129549.84107533043
35	129549.61181408963
36	129549.40562810366
37	129549.21998775084
38	129549.05266744406
39	129548.90170622451
40	129548.7653738709
41	129548.64214168988
42	129548.53065729146
43	129548.42972276217
44	129548.33827574321
45	129548.2553729979
46	129548.18017611535
47	129548.1119390533
48	129548.04999726459
49	129547.993758193
50	129547.94269295213
51	129547.89632903173
52	129547.85424389405
53	129547.8160593455
54	129547.7814365831
55	129547.75007182984
56	129547.72169248427
57	129547.69605372025
58	129547.67293548082
59	129547.65213981792
60	129547.63348853617
61	129547.61682110315
62	129547.6019927957
63	129547.58887305268
64	129547.57734401131
65	129547.5672992048
66	129547.55864240273
67	129547.55128657799
68	129547.54515298581
69	129547.54017034199
70	129547.53627408922
71	129547.53340574159
72	129547.53151229915
