Epoch	Loss
0	1397635.9661652753
1	34833.34063853713
2	33306.39660579319
3	31169.97918176811
4	28285.675835429884
5	24863.681967236367
6	21652.164592489222
7	19425.791402682014
8	18176.87873018999
9	17665.08101582592
10	17244.796436579272
11	16980.29051445196
12	16776.745961554218
13	16595.41774734301
14	16426.06708966022
15	16270.801158340439
16	16137.702351130238
17	16026.340978389448
18	15935.615303267823
19	15863.043583766965
20	15805.36190318779
21	15759.393213753921
22	15722.449627839787
23	15692.41757403211
24	15667.694550092581
25	15647.084045362886
26	15629.69549540776
27	15614.863509863808
28	15602.08705533572
29	15590.985064681747
30	15581.264433767941
31	15572.697010232667
32	15565.103007261694
33	15558.338987171233
34	15552.28909921973
35	15546.858644506525
36	15541.969314313472
37	15537.91441138725
38	15536.517777725609
39	15535.333133553166
40	15534.323465441896
41	15533.458830682886
42	15532.71492645275
43	15532.071959606848
44	15531.513752199333
45	15531.027032204556
46	15530.648720471427
47	15530.320550651764
48	15530.032232161702
49	15529.777422410109
50	15529.551007442169
51	15529.348817385966
52	15529.167431559352
53	15529.004026646748
54	15528.856257703146
55	15528.72216463091
56	15528.600098467301
57	15528.488663104783
58	15528.386669056217
59	15528.293096639201
60	15528.207066543027
61	15528.127816196398
62	15528.054680703946
63	15527.987077393867
64	15527.924493227287
65	15527.86647448441
66	15527.812618268345
67	15527.762565466881
68	15527.715994887792
69	15527.672618343802
70	15527.632176509973
71	15527.594435411702
72	15527.559183431584
73	15527.526228743829
74	15527.495397104978
75	15527.466529941328
76	15527.439482685888
77	15527.414123325947
78	15527.3903311296
79	15527.36799552506
80	15527.347015110194
81	15527.327296775873
82	15527.30875492604
83	15527.291310783201
84	15527.27489176784
85	15527.259430942682
86	15527.244866513958
87	15527.231141383292
88	15527.218202743654
89	15527.20600171511
90	15527.194493015335
91	15527.183634661706
92	15527.173387701065
93	15527.163715964658
94	15527.15458584523
95	15527.14596609449
96	15527.137827638346
97	15527.130143408836
98	15527.122888190206
99	15527.116038478925
100	15527.109572354897
101	15527.10346936436
102	15527.097710411597
103	15527.092277661068
104	15527.087154446068
105	15527.082325185493
106	15527.077775307756
107	15527.073491179694
108	15527.069460042165
109	15527.065669949952
110	15527.0621097167
111	15527.058768863744
112	15527.055637573538
113	15527.052706645438
114	15527.049967456183
115	15527.047411922073
116	15527.045032464608
117	15527.042821978615
118	15527.040773802397
119	15527.038881689949
120	15527.037139785814
121	15527.035542600852
122	15527.034084990302
123	15527.032762132987
124	15527.031569512415
125	15527.030502898524
