Epoch	Loss
0	760057.0625
1	177516592.0
2	70822992.0
3	10269973.0
4	1592108.0
5	1073653.625
6	728364.8125
7	498465.65625
8	345703.15625
9	244462.34375
10	177458.40625
11	133224.640625
12	104081.984375
13	84863.578125
14	72162.734375
15	63736.0546875
16	58160.51171875
17	54428.94140625
18	51911.11328125
19	50128.58984375
20	48827.86328125
21	47831.2890625
22	47032.57421875
23	46362.78515625
24	45777.48046875
25	45246.15625
26	44755.87109375
27	44296.9921875
28	43897.8984375
29	43551.3203125
30	43204.27734375
31	42867.86328125
32	42540.8515625
33	42222.46875
34	41912.25390625
35	41609.7421875
36	41314.625
37	41026.6875
38	40745.3828125
39	40469.6015625
40	40200.45703125
41	39937.7421875
42	39681.35546875
43	39431.15625
44	39187.00390625
45	38949.0625
46	38719.29296875
47	38494.875
48	38275.73046875
49	38060.9453125
50	37854.08984375
51	37651.46484375
52	37452.06640625
53	37266.18359375
54	37098.6875
55	36934.8203125
56	36774.52734375
57	36617.43359375
58	36455.22265625
59	36296.78515625
60	36145.60546875
61	35996.54296875
62	35851.140625
63	35713.1796875
64	35581.01953125
65	35450.64453125
66	35321.6796875
67	35194.84375
68	35069.96484375
69	34936.74609375
70	34804.94140625
71	34672.80859375
72	34540.546875
73	34410.16015625
74	34281.69921875
75	34155.02734375
76	34030.25
77	33907.25390625
78	33786.07421875
79	33666.68359375
80	33549.0390625
81	33433.58984375
82	33323.49609375
83	33210.51171875
84	33099.1171875
85	32989.296875
86	32881.02734375
87	32774.296875
88	32669.095703125
89	32566.6015625
90	32472.47265625
91	32379.646484375
92	32291.189453125
93	32212.81640625
94	32135.392578125
95	32058.837890625
96	31983.2421875
97	31908.50390625
98	31834.98046875
99	31762.59765625
100	31691.095703125
101	31620.3125
102	31550.125
103	31480.78515625
104	31412.1484375
105	31344.326171875
106	31277.224609375
107	31210.875
108	31145.259765625
109	31080.599609375
110	31017.533203125
111	30955.115234375
112	30893.3828125
113	30832.30859375
114	30771.88671875
115	30712.107421875
116	30652.953125
117	30594.470703125
118	30536.61328125
119	30479.333984375
120	30422.712890625
121	30366.716796875
122	30311.306640625
123	30256.5
124	30202.27734375
125	30148.666015625
126	30095.595703125
127	30044.796875
128	29996.08203125
129	29947.724609375
130	29899.6796875
131	29851.96875
132	29804.60546875
133	29757.56640625
134	29710.8359375
135	29664.46875
136	29618.38671875
137	29572.642578125
138	29527.248046875
139	29482.130859375
140	29437.404296875
141	29392.9453125
142	29348.8828125
143	29305.166015625
144	29261.8359375
145	29218.9296875
146	29176.58203125
147	29134.935546875
148	29094.330078125
149	29056.228515625
150	29030.328125
151	29011.306640625
152	29002.82421875
153	29014.17578125
154	29065.0
155	29194.390625
156	29484.138671875
157	30102.138671875
158	31418.09765625
159	34268.59375
160	40364.859375
161	53543.01953125
162	82821.71875
163	146894.3125
164	293692.03125
165	610003.875
166	1331384.125
167	2695471.25
168	5278903.5
169	7599801.0
170	9090686.0
171	6355006.5
172	3795642.0
173	1594889.625
174	685561.25
175	283563.59375
176	137038.609375
177	77697.7890625
178	54676.26171875
179	44892.65234375
180	40583.8359375
181	38487.1953125
182	37333.21484375
183	36587.7109375
184	36032.56640625
185	35567.42578125
186	35149.5078125
187	34760.6640625
188	34394.87109375
189	34078.9921875
190	33801.49609375
191	33527.5234375
192	33256.73828125
193	32998.52734375
194	32750.2734375
195	32510.90234375
196	32279.9921875
197	32055.041015625
198	31843.017578125
199	31652.365234375
200	31477.3515625
201	31306.591796875
202	31141.263671875
203	30981.8984375
204	30829.591796875
205	30682.748046875
206	30540.462890625
207	30404.203125
208	30273.5625
209	30148.787109375
210	30029.412109375
211	29914.001953125
212	29802.41015625
213	29692.880859375
214	29585.22265625
215	29482.70703125
216	29383.779296875
217	29287.765625
218	29193.484375
219	29103.892578125
220	29022.16015625
221	28942.71875
222	28865.458984375
223	28790.259765625
224	28717.16015625
225	28645.103515625
226	28569.73828125
227	28493.25
228	28418.552734375
229	28344.51953125
230	28272.650390625
231	28203.1875
232	28136.248046875
233	28071.306640625
234	28008.6640625
235	27948.69140625
236	27892.990234375
237	27843.140625
238	27801.375
239	27775.474609375
240	27777.1953125
241	27822.291015625
242	27951.685546875
243	28248.193359375
244	28874.216796875
245	30146.779296875
246	32733.861328125
247	37974.05859375
248	48740.0625
249	70918.7578125
250	117872.0
251	215646.828125
252	426845.46875
253	851886.5
254	1727454.625
255	3157110.0
256	5173655.5
257	6230066.0
258	5595702.5
259	3507070.5
260	1730848.0
261	747336.375
262	329308.21875
263	156273.640625
264	87186.78125
265	58625.9140625
266	46326.84765625
267	40782.07421875
268	38090.5
269	36636.5234375
270	35731.55078125
271	35086.9609375
272	34569.5546875
273	34131.47265625
274	33750.19140625
275	33400.04296875
276	33072.62109375
277	32763.734375
278	32470.91796875
279	32192.083984375
280	31925.138671875
281	31668.119140625
282	31423.98828125
283	31191.556640625
284	30970.2578125
285	30759.62890625
286	30561.08984375
287	30373.794921875
288	30189.921875
289	30023.810546875
290	29894.71484375
291	29771.32421875
292	29653.46484375
293	29540.51171875
294	29426.2265625
295	29312.9296875
296	29204.66015625
297	29100.26953125
298	28996.97265625
299	28894.51171875
300	28796.638671875
301	28703.083984375
302	28613.537109375
303	28527.794921875
304	28445.9296875
305	28369.607421875
306	28317.1875
307	28269.623046875
308	28223.984375
309	28180.279296875
310	28138.21484375
311	28094.001953125
312	28048.833984375
313	28005.677734375
314	27964.6015625
315	27925.798828125
316	27889.490234375
317	27855.556640625
318	27824.4453125
319	27796.880859375
320	27774.11328125
321	27758.23046875
322	27753.01953125
323	27764.923828125
324	27805.78125
325	27895.92578125
326	28072.73828125
327	28405.01953125
328	29019.572265625
329	30163.9296875
330	32310.857421875
331	36382.23828125
332	44221.10546875
333	59493.875
334	89725.296875
335	150185.34375
336	271699.21875
337	514126.625
338	987434.5
339	1827560.75
340	3114014.25
341	4385618.0
342	4747187.5
343	3764886.0
344	2232630.5
345	1120590.5
346	514735.84375
347	246001.734375
348	126994.8984375
349	76361.265625
350	53681.16796875
351	43449.2578125
352	38551.19921875
353	36124.98828125
354	34801.546875
355	34031.7109375
356	33526.2109375
357	33158.0390625
358	32864.93359375
359	32614.52734375
360	32382.001953125
361	32170.31640625
362	31967.798828125
363	31769.40234375
364	31573.302734375
365	31386.791015625
366	31203.505859375
367	31015.732421875
368	30835.818359375
369	30670.412109375
370	30509.939453125
371	30354.443359375
372	30207.548828125
373	30069.3828125
374	29938.978515625
375	29815.287109375
376	29697.26171875
377	29584.109375
378	29476.833984375
379	29375.248046875
380	29277.916015625
381	29179.177734375
382	29080.07421875
383	28973.322265625
384	28871.9921875
385	28774.763671875
386	28679.630859375
387	28587.05078125
388	28499.720703125
389	28428.189453125
390	28360.0234375
391	28294.150390625
392	28229.271484375
393	28167.35546875
394	28107.96875
395	28051.3125
396	27997.27734375
397	27945.76171875
398	27896.748046875
399	27850.275390625
400	27806.478515625
401	27765.73046875
402	27728.611328125
403	27694.9296875
404	27667.146484375
405	27649.6015625
406	27648.697265625
407	27675.466796875
408	27750.45703125
409	27911.33203125
410	28227.4921875
411	28831.78125
412	29971.515625
413	32138.9921875
414	36353.37890625
415	44583.16796875
416	60881.203125
417	93747.4765625
418	160619.03125
419	296317.8125
420	566687.3125
421	1080702.375
422	1927456.0
423	3018240.25
424	3683583.25
425	3417762.0
426	2218364.5
427	1204493.625
428	556801.1875
429	262031.640625
430	131973.09375
431	76940.2578125
432	52905.6796875
433	42143.92578125
434	37115.98828125
435	34611.87109375
436	33249.1484375
437	32432.1640625
438	31884.98046875
439	31478.701171875
440	31157.443359375
441	30885.34375
442	30636.55859375
443	30407.80078125
444	30197.466796875
445	30001.60546875
446	29824.0234375
447	29663.029296875
448	29510.01953125
449	29376.603515625
450	29253.06640625
451	29139.76953125
452	29033.08984375
453	28933.58203125
454	28841.447265625
455	28754.794921875
456	28673.22265625
457	28596.32421875
458	28524.083984375
459	28456.048828125
460	28391.53515625
461	28329.96484375
462	28268.822265625
463	28210.58984375
464	28155.263671875
465	28103.37890625
466	28053.00390625
467	28003.9765625
468	27956.1953125
469	27909.6640625
470	27864.4765625
471	27820.96875
472	27779.0
473	27737.541015625
474	27694.564453125
475	27652.65625
476	27611.66796875
477	27572.015625
478	27533.4453125
