Epoch	Loss
0	470598.5
1	125383264.0
2	750856.9375
3	489356.6875
4	302564.1875
5	172252.984375
6	100414.9296875
7	62414.640625
8	40589.26953125
9	31753.869140625
10	28697.75390625
11	27456.5234375
12	26764.208984375
13	26299.50390625
14	25966.177734375
15	25712.91796875
16	25514.28125
17	25349.162109375
18	25203.86328125
19	25087.458984375
20	24992.142578125
21	24909.591796875
22	24842.73046875
23	24790.265625
24	24743.330078125
25	24696.01953125
26	24650.83984375
27	24602.55078125
28	24560.216796875
29	24518.8984375
30	24483.23828125
31	24448.79296875
32	24415.345703125
33	24382.263671875
34	24350.00390625
35	24317.474609375
36	24284.88671875
37	24252.47265625
38	24219.99609375
39	24187.75390625
40	24156.134765625
41	24126.888671875
42	24098.166015625
43	24069.892578125
44	24042.0078125
45	24014.291015625
46	23986.06640625
47	23957.580078125
48	23929.4453125
49	23900.373046875
50	23868.203125
51	23835.583984375
52	23803.626953125
53	23770.0078125
54	23730.623046875
55	23689.1015625
56	23647.734375
57	23599.98046875
58	23555.162109375
59	23515.66796875
60	23477.533203125
61	23441.00390625
62	23401.63671875
63	23362.76953125
64	23325.859375
65	23289.83984375
66	23253.43359375
67	23219.046875
68	23184.876953125
69	23150.8515625
70	23116.73046875
71	23081.6328125
72	23045.580078125
73	23008.14453125
74	22968.7265625
75	22931.361328125
76	22895.763671875
77	22857.525390625
78	22820.57421875
79	22783.505859375
80	22747.046875
81	22710.8984375
82	22674.66796875
83	22638.287109375
84	22601.83984375
85	22565.21484375
86	22528.349609375
87	22490.611328125
88	22450.890625
89	22410.57421875
90	22368.958984375
91	22327.78125
92	22287.1015625
93	22246.080078125
94	22203.724609375
95	22161.994140625
96	22119.791015625
97	22077.50390625
98	22034.923828125
99	21992.6015625
100	21949.94921875
101	21906.935546875
102	21863.486328125
103	21818.611328125
104	21773.37109375
105	21727.69921875
106	21681.578125
107	21634.990234375
108	21587.919921875
109	21540.36328125
110	21492.294921875
111	21443.712890625
112	21394.623046875
113	21345.26171875
114	21295.064453125
115	21243.720703125
116	21191.794921875
117	21139.271484375
118	21086.33984375
119	21033.173828125
120	20979.53515625
121	20924.81640625
122	20869.80078125
123	20812.83984375
124	20755.244140625
125	20696.9765625
126	20637.658203125
127	20577.099609375
128	20515.78515625
129	20453.701171875
130	20390.8203125
131	20327.146484375
132	20261.8125
133	20195.447265625
134	20128.291015625
135	20060.32421875
136	19994.087890625
137	19929.158203125
138	19871.1640625
139	19827.970703125
140	19839.3125
141	19955.087890625
142	20464.8828125
143	21767.8203125
144	23729.4296875
145	28356.72265625
146	25947.5234375
147	28239.53125
148	22903.5078125
149	22723.08203125
150	21046.8203125
151	20794.927734375
152	20300.55859375
153	20138.484375
154	19917.212890625
155	19820.962890625
156	19711.138671875
157	19664.400390625
158	19620.466796875
159	19626.861328125
160	19630.388671875
161	19719.041015625
162	19806.880859375
163	20041.3359375
164	20211.943359375
165	20675.31640625
166	20777.759765625
167	21456.90234375
168	21211.15234375
169	21916.201171875
170	21306.119140625
171	21833.24609375
172	21040.291015625
173	21342.71484375
174	20646.728515625
175	20801.693359375
176	20307.568359375
177	20396.482421875
178	20018.39453125
179	20091.103515625
180	19784.142578125
181	19868.515625
182	19611.572265625
183	19730.75
184	19544.779296875
185	19718.28125
186	19570.984375
187	19814.509765625
188	19723.767578125
189	20053.525390625
190	19971.75
191	20386.037109375
192	20199.330078125
193	20645.583984375
