Epoch	Loss
0	604121.1875
1	506452.96875
2	431025.84375
3	369068.125
4	316349.25
5	271317.4375
6	234861.953125
7	207467.59375
8	188347.34375
9	175780.625
10	167851.59375
11	162959.453125
12	159949.171875
13	158053.59375
14	156793.640625
15	155885.65625
16	155169.21875
17	154556.859375
18	154002.234375
19	153481.265625
20	152981.5625
21	152496.796875
22	152023.765625
23	151560.703125
24	151106.625
25	150660.984375
26	150223.421875
27	149793.609375
28	149371.40625
29	148956.546875
30	148548.9375
31	148148.546875
32	147755.40625
33	147369.765625
34	146992.4375
35	146625.140625
36	146271.46875
37	145937.75
38	145631.578125
39	145354.703125
40	145080.71875
41	144778.6875
42	144416.65625
43	144038.671875
44	143652.734375
45	143291.265625
46	142945.8125
47	142619.71875
48	142305.953125
49	142003.15625
50	141708.484375
51	141420.9375
52	141139.515625
53	140863.796875
54	140593.375
55	140328.015625
56	140067.578125
57	139811.953125
58	139561.03125
59	139314.71875
60	139072.984375
61	138835.703125
62	138602.890625
63	138374.484375
64	138150.390625
65	137930.59375
66	137715.015625
67	137503.65625
68	137296.421875
69	137093.28125
70	136894.21875
71	136699.125
72	136508.015625
73	136320.8125
74	136137.46875
75	135957.96875
76	135782.234375
77	135610.25
78	135441.953125
79	135277.296875
80	135116.265625
81	134958.765625
82	134804.765625
83	134654.265625
84	134507.171875
85	134363.453125
86	134223.078125
87	134086.0
88	133952.140625
89	133821.484375
90	133694.0
91	133569.640625
92	133448.3125
93	133330.0
94	133214.65625
95	133102.28125
96	132992.75
97	132886.078125
98	132782.171875
99	132681.015625
100	132582.578125
101	132486.765625
102	132393.5625
103	132302.921875
104	132214.796875
105	132129.171875
106	132045.9375
107	131965.109375
108	131886.578125
109	131810.375
110	131736.390625
111	131664.59375
112	131594.984375
113	131527.484375
114	131462.0625
115	131398.65625
116	131337.265625
117	131277.84375
118	131220.375
119	131164.84375
120	131111.21875
121	131059.578125
122	131009.9765625
123	130962.6171875
124	130917.671875
125	130875.734375
126	130837.359375
127	130804.03125
128	130776.6796875
129	130758.734375
130	130749.4453125
131	130753.859375
132	130759.203125
133	130771.671875
134	130756.2890625
135	130737.859375
136	130678.671875
137	130626.71875
138	130553.8046875
139	130497.28125
140	130437.3671875
141	130391.2109375
142	130347.265625
143	130311.7421875
144	130278.8515625
145	130250.703125
146	130224.578125
147	130201.1640625
148	130179.2265625
149	130159.015625
150	130139.921875
151	130122.0234375
152	130105.0234375
153	130088.9765625
154	130073.65625
155	130059.1328125
156	130045.2421875
157	130032.03125
158	130019.3984375
159	130007.359375
160	129995.8515625
161	129984.8984375
162	129974.421875
163	129964.4296875
164	129954.90625
165	129945.8125
166	129937.171875
167	129928.9609375
168	129921.15625
169	129913.78125
170	129906.8125
171	129900.2734375
172	129894.1796875
173	129888.59375
174	129883.46875
175	129879.0234375
176	129875.203125
177	129872.3828125
178	129870.4296875
179	129870.1640625
180	129871.265625
181	129875.375
182	129881.53125
183	129893.1015625
184	129906.9609375
185	129929.78125
186	129952.1328125
187	129986.4765625
188	130009.890625
189	130045.328125
190	130051.953125
191	130069.8515625
192	130048.3203125
193	130041.4296875
194	130002.171875
195	129981.0
196	129941.984375
197	129919.5
198	129889.6953125
199	129871.8359375
200	129851.578125
201	129838.9296875
202	129825.671875
203	129817.0234375
204	129808.25
205	129802.296875
206	129796.3125
207	129792.0703125
208	129787.828125
209	129784.703125
210	129781.578125
211	129779.2734375
212	129776.8984375
213	129775.15625
214	129773.359375
215	129772.1015625
216	129770.8046875
217	129770.0546875
218	129769.2421875
219	129769.0703125
220	129768.828125
221	129769.3984375
222	129769.9453125
223	129771.578125
224	129773.265625
225	129776.5703125
226	129779.953125
227	129785.8046875
228	129791.6953125
229	129801.4765625
230	129810.890625
231	129826.3046875
232	129839.8984375
233	129862.15625
234	129878.7421875
235	129906.65625
236	129921.1953125
237	129948.9375
238	129952.9453125
239	129971.359375
240	129958.84375
241	129962.296875
242	129936.1328125
243	129927.1171875
244	129896.515625
245	129882.0390625
246	129854.6796875
247	129840.4296875
248	129819.2890625
249	129807.75
250	129792.6171875
251	129784.0390625
252	129773.53125
253	129767.4453125
254	129760.1875
255	129755.9453125
256	129750.8828125
257	129747.9609375
258	129744.3984375
259	129742.5078125
260	129740.0234375
261	129738.9296875
262	129737.3203125
263	129736.9296875
264	129736.0703125
265	129736.4609375
266	129736.3515625
267	129737.671875
268	129738.4453125
269	129740.96875
270	129742.8828125
271	129747.0859375
272	129750.46875
273	129757.0
274	129762.359375
275	129772.125
276	129779.8203125
277	129793.6328125
278	129803.6328125
279	129821.84375
280	129832.8359375
281	129854.3046875
282	129863.171875
283	129884.4609375
284	129886.65625
285	129902.78125
286	129894.9296875
287	129902.2109375
288	129884.8359375
289	129883.25
290	129860.6640625
291	129853.2890625
292	129830.484375
293	129821.0078125
294	129801.1953125
295	129792.1328125
296	129776.390625
297	129768.8671875
298	129756.9765625
299	129751.21875
300	129742.46875
301	129738.3125
302	129731.9375
303	129729.1640625
304	129724.59375
305	129722.96875
306	129719.796875
307	129719.1640625
308	129717.140625
309	129717.4921875
310	129716.4609375
311	129717.890625
312	129717.8671875
313	129720.5234375
314	129721.6015625
315	129725.8203125
316	129728.15625
317	129734.328125
318	129738.1328125
319	129746.84375
320	129752.25
321	129763.9921875
322	129770.875
323	129785.890625
324	129793.5390625
325	129811.3984375
326	129818.2109375
327	129837.4140625
328	129840.953125
329	129858.859375
330	129856.65625
331	129870.46875
332	129861.34375
333	129869.328125
334	129854.2421875
335	129856.484375
336	129837.9375
337	129836.03125
338	129816.8984375
339	129812.78125
340	129795.171875
341	129790.4609375
342	129775.359375
343	129771.1328125
344	129758.8203125
345	129755.59375
346	129745.8984375
347	129743.8515625
348	129736.421875
349	129735.625
350	129730.109375
351	129730.6171875
352	129726.75
353	129728.59375
354	129726.21875
355	129729.515625
356	129728.53125
357	129733.5
358	129733.890625
359	129740.8359375
360	129742.5546875
361	129751.8515625
362	129754.9296875
363	129766.9140625
364	129771.1796875
365	129786.15625
366	129791.234375
367	129809.0859375
368	129814.1015625
369	129834.375
370	129837.9609375
371	129859.3828125
372	129859.84375
373	129880.5234375
374	129876.2109375
375	129894.140625
376	129884.21875
377	129897.765625
378	129882.5
379	129891.125
380	129871.984375
381	129876.125
382	129855.1640625
383	129856.0
384	129835.125
385	129834.046875
386	129814.6953125
387	129812.890625
388	129795.890625
389	129794.2421875
390	129779.8671875
391	129778.921875
392	129767.109375
393	129767.2421875
394	129757.7421875
395	129759.109375
396	129751.71875
397	129754.46875
398	129748.90625
399	129753.1953125
400	129749.2578125
401	129755.1953125
402	129752.734375
403	129760.4921875
404	129759.328125
405	129769.09375
406	129769.0
407	129780.875
408	129781.578125
409	129795.609375
410	129796.6015625
411	129812.5625
412	129813.1328125
413	129830.484375
414	129829.71875
415	129847.5703125
416	129844.4296875
417	129861.609375
418	129855.1640625
419	129870.4296875
420	129860.1953125
